Player Name,Position,Passing Yards,Passing Touchdowns,Rushing Yards,Rushing Touchdowns,Interceptions,RB Total Rushing Yards,RB Total Rushing Carries,RB Total Rushing Touchdowns,RB Receiving Yards,WR Total Receptions,WR Total Receiving Yards,WR Total Receiving Touchdowns,WR Rushing Yards,TE Total Receptions,TE Total Yards,TE Receiving Touchdowns,Total Yards Against,Total Interceptions,Total Points Allowed,Total FG Made,Total PAT Made
Josh Allen,QB,369,4,19,0,1,,,,,,,,,,,,,,,,
Jalen Hurts,QB,184,0,23,1,4,,,,,,,,,,,,,,,,
Lamar Jackson,QB,228,3,14,2,4,,,,,,,,,,,,,,,,
C.J Stroud,QB,169,0,10,2,3,,,,,,,,,,,,,,,,
Derek Henry,RB,,,,,,32,13,0,33,,,,,,,,,,,,
Breece Hall,RB,,,,,,56,3,2,18,,,,,,,,,,,,
Saquan Barkley,RB,,,,,,103,19,3,13,,,,,,,,,,,,
Christian McCaffrey,RB,,,,,,120,10,4,10,,,,,,,,,,,,
Tyreek Hill,WR,,,,,,,,,,8,142,0,2,,,,,,,,
Stefon Diggs,WR,,,,,,,,,,11,130,2,19,,,,,,,,
Justin Jefferson,WR,,,,,,,,,,10,191,0,8,,,,,,,,
Deebo Samuel,WR,,,,,,,,,,3,190,2,11,,,,,,,,
Mike Evans,WR,,,,,,,,,,6,66,2,5,,,,,,,,
Keenan Allen,WR,,,,,,,,,,10,20,0,14,,,,,,,,
DeVonta Smith,WR,,,,,,,,,,4,14,1,1,,,,,,,,
Davante Adams,WR,,,,,,,,,,11,106,0,14,,,,,,,,
Travis Kelce,TE,,,,,,,,,,,,,,4,10,0,,,,,
Sam LaPorta,TE,,,,,,,,,,,,,,4,12,1,,,,,
Mark Andrews,TE,,,,,,,,,,,,,,2,19,2,,,,,
Dawson Knox,TE,,,,,,,,,,,,,,7,41,0,,,,,
Cowboys Defensive Line,D/ST,,,,,,,,,,,,,,,,,333,0,40,,
Baltimore Defensive Line,D/ST,,,,,,,,,,,,,,,,,293,1,19,,
Pittsburgh Defensive Line,D/ST,,,,,,,,,,,,,,,,,165,0,26,,
Seattle Defense Line,D/ST,,,,,,,,,,,,,,,,,339,2,13,,
Justin Tucker,Kicker,,,,,,,,,,,,,,,,,,,,3,6
Brandon Aubrey,Kicker,,,,,,,,,,,,,,,,,,,,2,4
Brett Maher,Kicker,,,,,,,,,,,,,,,,,,,,2,6
Cameron Dicker,Kicker,,,,,,,,,,,,,,,,,,,,1,6
