Player Name,Position,Passing Yards,Passing Touchdowns,Rushing Yards,Rushing Touchdowns,Interceptions,RB Total Rushing Yards,RB Total Rushing Carries,RB Total Rushing Touchdowns,RB Receiving Yards,WR Total Receptions,WR Total Receiving Yards,WR Total Receiving Touchdowns,WR Rushing Yards,TE Total Receptions,TE Total Yards,TE Receiving Touchdowns,Total Yards Against,Total Interceptions,Total Points Allowed,Total FG Made,Total PAT Made
Josh Allen,QB,388,2,7,2,4,,,,,,,,,,,,,,,,
Jalen Hurts,QB,293,1,0,2,2,,,,,,,,,,,,,,,,
Lamar Jackson,QB,239,3,23,2,2,,,,,,,,,,,,,,,,
C.J Stroud,QB,220,2,13,2,4,,,,,,,,,,,,,,,,
Derek Henry,RB,,,,,,103,3,4,11,,,,,,,,,,,,
Breece Hall,RB,,,,,,51,10,4,10,,,,,,,,,,,,
Saquan Barkley,RB,,,,,,114,17,0,35,,,,,,,,,,,,
Christian McCaffrey,RB,,,,,,38,18,2,30,,,,,,,,,,,,
Tyreek Hill,WR,,,,,,,,,,4,48,2,2,,,,,,,,
Stefon Diggs,WR,,,,,,,,,,11,131,0,20,,,,,,,,
Justin Jefferson,WR,,,,,,,,,,2,53,3,3,,,,,,,,
Deebo Samuel,WR,,,,,,,,,,5,155,1,3,,,,,,,,
Mike Evans,WR,,,,,,,,,,5,62,0,15,,,,,,,,
Keenan Allen,WR,,,,,,,,,,5,164,0,3,,,,,,,,
DeVonta Smith,WR,,,,,,,,,,11,108,1,13,,,,,,,,
Davante Adams,WR,,,,,,,,,,8,19,1,6,,,,,,,,
Travis Kelce,TE,,,,,,,,,,,,,,5,57,1,,,,,
Sam LaPorta,TE,,,,,,,,,,,,,,9,45,1,,,,,
Mark Andrews,TE,,,,,,,,,,,,,,10,29,0,,,,,
Dawson Knox,TE,,,,,,,,,,,,,,11,43,1,,,,,
Cowboys Defensive Line,D/ST,,,,,,,,,,,,,,,,,181,0,23,,
Baltimore Defensive Line,D/ST,,,,,,,,,,,,,,,,,142,2,24,,
Pittsburgh Defensive Line,D/ST,,,,,,,,,,,,,,,,,406,0,6,,
Seattle Defense Line,D/ST,,,,,,,,,,,,,,,,,216,1,39,,
Justin Tucker,Kicker,,,,,,,,,,,,,,,,,,,,3,6
Brandon Aubrey,Kicker,,,,,,,,,,,,,,,,,,,,3,3
Brett Maher,Kicker,,,,,,,,,,,,,,,,,,,,2,4
Cameron Dicker,Kicker,,,,,,,,,,,,,,,,,,,,4,3
