Player Name,Position,Passing Yards,Passing Touchdowns,Rushing Yards,Rushing Touchdowns,Interceptions,RB Total Rushing Yards,RB Total Rushing Carries,RB Total Rushing Touchdowns,RB Receiving Yards,WR Total Receptions,WR Total Receiving Yards,WR Total Receiving Touchdowns,WR Rushing Yards,TE Total Receptions,TE Total Yards,TE Receiving Touchdowns,Total Yards Against,Total Interceptions,Total Points Allowed,Total FG Made,Total PAT Made
Josh Allen,QB,256,4,10,0,1,,,,,,,,,,,,,,,,
Jalen Hurts,QB,387,0,26,0,2,,,,,,,,,,,,,,,,
Lamar Jackson,QB,327,0,6,1,4,,,,,,,,,,,,,,,,
C.J Stroud,QB,358,2,20,2,3,,,,,,,,,,,,,,,,
Derek Henry,RB,,,,,,38,19,0,22,,,,,,,,,,,,
Breece Hall,RB,,,,,,82,16,2,25,,,,,,,,,,,,
Saquan Barkley,RB,,,,,,123,8,2,12,,,,,,,,,,,,
Christian McCaffrey,RB,,,,,,72,19,0,19,,,,,,,,,,,,
Tyreek Hill,WR,,,,,,,,,,10,33,3,11,,,,,,,,
Stefon Diggs,WR,,,,,,,,,,2,72,0,12,,,,,,,,
Justin Jefferson,WR,,,,,,,,,,2,70,2,16,,,,,,,,
Deebo Samuel,WR,,,,,,,,,,4,143,3,20,,,,,,,,
Mike Evans,WR,,,,,,,,,,8,189,2,10,,,,,,,,
Keenan Allen,WR,,,,,,,,,,9,41,3,12,,,,,,,,
DeVonta Smith,WR,,,,,,,,,,8,43,2,21,,,,,,,,
Davante Adams,WR,,,,,,,,,,9,191,1,3,,,,,,,,
Travis Kelce,TE,,,,,,,,,,,,,,7,38,2,,,,,
Sam LaPorta,TE,,,,,,,,,,,,,,9,30,0,,,,,
Mark Andrews,TE,,,,,,,,,,,,,,10,20,1,,,,,
Dawson Knox,TE,,,,,,,,,,,,,,3,57,0,,,,,
Cowboys Defensive Line,D/ST,,,,,,,,,,,,,,,,,278,1,9,,
Baltimore Defensive Line,D/ST,,,,,,,,,,,,,,,,,158,2,14,,
Pittsburgh Defensive Line,D/ST,,,,,,,,,,,,,,,,,359,0,22,,
Seattle Defense Line,D/ST,,,,,,,,,,,,,,,,,256,1,30,,
Justin Tucker,Kicker,,,,,,,,,,,,,,,,,,,,2,7
Brandon Aubrey,Kicker,,,,,,,,,,,,,,,,,,,,1,5
Brett Maher,Kicker,,,,,,,,,,,,,,,,,,,,1,6
Cameron Dicker,Kicker,,,,,,,,,,,,,,,,,,,,2,4
